date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986863658,1.0000000014171688,46303774477
2024-12-25,1.0,0.9999999986089075,1.0000000016161306,46303774477
2024-12-26,1.0,0.9999999981756355,1.0000000019221575,46303774477
2024-12-27,1.0,0.9999999977760837,1.0000000027076597,46303774477
2024-12-28,1.0,0.9999999967121639,1.0000000045096624,46303774477
2024-12-29,1.0,0.9999999953286601,1.0000000062053136,46303774477
2024-12-30,1.0,0.9999999928386042,1.0000000079929192,46303774477
2024-12-31,1.0,0.9999999910525957,1.0000000100629247,46303774477
2025-01-01,1.0,0.9999999887460901,1.0000000128042397,46303774477
2025-01-02,1.0,0.9999999861747316,1.0000000151750574,46303774477
2025-01-03,1.0,0.9999999841853493,1.00000001764096,46303774477
2025-01-04,1.0,0.9999999818513672,1.0000000210987192,46303774477
2025-01-05,1.0,0.999999979618452,1.0000000234963171,46303774477
2025-01-06,1.0,0.9999999765088539,1.0000000263492788,46303774477
2025-01-07,1.0,0.9999999736377521,1.0000000297570821,46303774477
2025-01-08,1.0,0.9999999712699724,1.0000000317579758,46303774477
2025-01-09,1.0,0.9999999678186032,1.0000000351257015,46303774477
2025-01-10,1.0,0.9999999644783337,1.0000000379769014,46303774477
2025-01-11,1.0,0.9999999619460034,1.0000000422724158,46303774477
2025-01-12,1.0,0.9999999579691232,1.0000000451661502,46303774477
2025-01-13,1.0,0.9999999546703386,1.000000048983534,46303774477
2025-01-14,1.0,0.9999999517998053,1.0000000515093699,46303774477
2025-01-15,1.0,0.9999999471067065,1.0000000548248003,46303774477
2025-01-16,1.0,0.9999999424794331,1.0000000594189493,46303774477
2025-01-17,1.0,0.9999999391255593,1.0000000615655074,46303774477
2025-01-18,1.0,0.9999999359858341,1.0000000662484239,46303774477
2025-01-19,1.0,0.9999999319966767,1.0000000701015765,46303774477
2025-01-20,1.0,0.99999992760979,1.0000000753646334,46303774477
2025-03-04,1.9999996656589083,1.9999996656574515,1.999999665660305,46303862950
2025-03-05,1.9999996656589087,1.9999996656572587,1.9999996656605072,46303862950
2025-03-06,1.9999996656589092,1.999999665657131,1.9999996656606174,46303862950
2025-03-07,1.9999996656589092,1.9999996656569872,1.9999996656606913,46303862950
2025-03-08,1.9999996656589096,1.9999996656562604,1.9999996656607317,46303862950
2025-03-09,1.99999966565891,1.9999882572269154,1.9999996656608485,46303862950
2025-03-10,1.99999966565891,1.9999565746473855,1.9999996656611405,46303862950
2025-03-11,1.9999996656589105,1.999909167002627,2.000001208581956,46303862950
2025-03-12,1.9999996656589105,1.9998575547751982,2.0000325154795453,46303862950
2025-03-13,1.999999665658911,1.999798138460341,2.000072089883274,46303862950
2025-03-14,1.9999996656589114,1.9997145558235363,2.000144206782371,46303862950
2025-03-15,1.9999996656589114,1.9996480083879475,2.000211673421815,46303862950
2025-03-16,1.9999996656589119,1.9995540913990493,2.0002803565833553,46303862950
2025-03-17,1.9999996656589123,1.9994596059236922,2.0003714914453345,46303862950
2025-03-18,1.9999996656589123,1.9993601203171165,2.000426828367109,46303862950
2025-03-19,1.9999996656589127,1.9992670355901245,2.0005085529642472,46303862950
2025-03-20,1.9999996656589132,1.9991588772275881,2.000624854786124,46303862950
2025-03-21,1.9999996656589132,1.9990148906264307,2.000758825891586,46303862950
2025-03-22,1.9999996656589136,1.9989015776708596,2.0008672991964143,46303862950
2025-03-23,1.9999996656589136,1.9988088290470145,2.001014712069534,46303862950
2025-03-24,1.999999665658914,1.9986878953373026,2.0011822561300576,46303862950
2025-03-25,1.9999996656589145,1.9985518523805403,2.0012997585083094,46303862950
2025-03-26,1.9999996656589145,1.9984393818288917,2.0013852545609767,46303862950
2025-03-27,1.999999665658915,1.998311080509786,2.0015164464283206,46303862950
2025-03-28,1.9999996656589154,1.9982090643610004,2.001695404345746,46303862950
2025-03-29,1.9999996656589154,1.998099214986301,2.0017883576769067,46303862950
2025-03-30,1.9999996656589158,1.99797540248978,2.0019132605726426,46303862950
2025-03-31,1.9999996656589163,1.9977854154733865,2.0020781082250543,46303862950
2025-03-04,5.434594712288739,1.1115181789080424,9.575725957782502,46303877432
2025-03-05,4.865590756422694,0.7073893245098098,8.87572387658721,46303877432
2025-03-06,4.296586800556636,-0.05651147642213506,8.464277712022962,46303877432
2025-03-07,3.727582844690591,-0.3786474502527779,7.9247215434401825,46303877432
2025-03-08,3.1585788888245467,-0.8631572261613979,7.0813406949379285,46303877432
2025-03-09,2.5895749329585023,-1.6473068302733092,6.831790233021492,46303877432
2025-03-10,2.020570977092458,-2.5044352042279914,6.05997152274769,46303877432
2025-03-11,1.4515670212264133,-2.5246579485224467,5.547190174650542,46303877432
2025-03-12,0.8825630653603618,-3.1880371761265573,5.143138171389326,46303877432
2025-03-13,0.3135591094943173,-3.875848345005197,4.688649902270787,46303877432
2025-03-14,-0.25544484637172715,-4.728337950060049,3.76678487704775,46303877432
2025-03-15,-0.8244488022377716,-4.727737332576783,3.124337370534426,46303877432
2025-03-16,-1.393452758103816,-5.621219432539758,2.7477085780331993,46303877432
2025-03-17,-1.9624567139698605,-6.129876950416949,2.368488384883924,46303877432
2025-03-18,-2.531460669835919,-6.438034902485356,1.4842585507102029,46303877432
2025-03-19,-3.1004646257019637,-7.1439345266438385,1.030451061840217,46303877432
2025-03-20,-3.669468581568008,-7.816466995801713,0.10346026582681776,46303877432
2025-03-21,-4.238472537434053,-8.187338384516623,-0.348343345121932,46303877432
2025-03-22,-4.807476493300097,-9.081255068912641,-0.7254755179928898,46303877432
