ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-10,-0.024695361146744473,36932256672,0,0.0,0.0,-0.0,0.024695361146744473,,0.0
2025-02-17,-0.015301628510598533,36932256672,0,0.0,0.0,-0.0,0.015301628510598533,,0.0
2025-02-24,-0.006231538031694961,36932256672,0,0.0,0.0,-0.0,0.006231538031694961,,0.0
2025-02-03,-0.049367792578621214,36934182989,0,0.0,0.0,-0.0,0.049367792578621214,,0.0
2025-02-10,-0.05903791845713123,36934182989,0,0.0,0.0,-0.0,0.05903791845713123,,0.0
2025-02-17,-0.037623508084832794,36934182989,0,0.0,0.0,-0.0,0.037623508084832794,,0.0
2025-02-24,-0.016908127780000778,36934182989,0,0.0,0.0,-0.0,0.016908127780000778,,0.0
2025-02-03,-0.024292475010405323,38854719931,0,0.0,0.0,-0.0,0.024292475010405323,,0.0
2025-02-10,-0.056758024206778,38854719931,0,0.0,0.0,-0.0,0.056758024206778,,0.0
2025-02-17,0.12713572883130642,38854719931,0,0.0,0.0,0.0,0.12713572883130642,,0.0
2025-02-24,0.41057963478750437,38854719931,0,0.0,0.0,0.0,0.41057963478750437,,0.0
2025-02-03,0.5988898490545429,39231034278,0,0.0,0.0,0.0,0.5988898490545429,,0.0
2025-02-10,0.5166728917981033,39231034278,0,0.0,0.0,0.0,0.5166728917981033,,0.0
2025-02-17,0.6148448239952206,39231034278,0,0.0,0.0,0.0,0.6148448239952206,,0.0
2025-02-24,0.8017574900240805,39231034278,0,0.0,0.0,0.0,0.8017574900240805,,0.0
2025-02-03,0.8982834601794402,39233855712,0,0.0,0.0,0.0,0.8982834601794402,,0.0
2025-02-10,0.9818258162636746,39233855712,0,0.0,0.0,0.0,0.9818258162636746,,0.0
2025-02-17,0.9740185469923586,39233855712,1,,0.0,0.0,0.02598145300764143,0.02598145300764143,
2025-02-24,0.8957446583108224,39233855712,2,,0.0,0.0,1.1042553416891776,0.5521276708445888,
2025-02-03,1.5512143967261656,40790539263,1,,0.0,0.0,0.5512143967261656,0.5512143967261656,
2025-02-10,1.1329969840137424,40790539263,1,,0.0,0.0,0.13299698401374238,0.13299698401374238,
2025-02-17,0.7168364539642311,40790539263,0,0.0,0.0,0.0,0.7168364539642311,,0.0
2025-02-24,0.665655649024955,40790539263,1,,0.0,0.0,0.334344350975045,0.334344350975045,
2025-02-03,2.1017231726051677,41273568359,2,,0.0,0.0,0.10172317260516772,0.05086158630258386,
2025-02-10,2.574305452708037,41273568359,2,,0.0,0.0,0.5743054527080371,0.28715272635401856,
2025-02-17,2.7004389789665897,41273568359,3,0.0,0.0,0.0,0.2995610210334103,0.09985367367780344,0.0
2025-02-24,2.346589968888527,41273568359,1,0.0,0.0,0.0,1.346589968888527,1.346589968888527,0.0
2025-02-03,0.004195557342513534,3238598023,0,0.0,0.0,0.0,0.004195557342513534,,0.0
2025-02-10,0.07169857222377482,3238598023,0,0.0,0.0,0.0,0.07169857222377482,,0.0
2025-02-17,0.27843128919798205,3238598023,0,0.0,0.0,0.0,0.27843128919798205,,0.0
2025-02-24,0.5820268179741795,3238598023,0,0.0,0.0,0.0,0.5820268179741795,,0.0
2025-02-03,0.8337234346495508,36952764350,0,0.0,0.0,0.0,0.8337234346495508,,0.0
